day_disabled,day_label,date,reason_string
False,"24, Sunday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-24,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"25, Monday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-25,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"26, Tuesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-26,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"27, Wednesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-27,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"28, Thursday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-28,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"29, Friday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-29,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"30, Saturday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-30,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"1, Sunday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-01,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"2, Monday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-02,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"3, Tuesday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-03,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"4, Wednesday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-04,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"5, Thursday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-05,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"6, Friday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-06,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"7, Saturday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-07,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"8, Sunday, December 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-12-08,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"9, Monday, December 2024. Available, but has no eligible checkout date, due to the 3 night stay requirement. ",2024-12-09,"Available, but has no eligible checkout date, due to the 3 night stay requirement."
False,"10, Tuesday, December 2024. Available, but has no eligible checkout date, due to the 3 night stay requirement. ",2024-12-10,"Available, but has no eligible checkout date, due to the 3 night stay requirement."
False,"11, Wednesday, December 2024. This day is only available for checkout. ",2024-12-11,This day is only available for checkout.
True,"12, Thursday, December 2024. Unavailable ",2024-12-12,Unavailable
True,"13, Friday, December 2024. Unavailable ",2024-12-13,Unavailable
True,"14, Saturday, December 2024. Unavailable ",2024-12-14,Unavailable
True,"15, Sunday, December 2024. Unavailable ",2024-12-15,Unavailable
True,"16, Monday, December 2024. Unavailable ",2024-12-16,Unavailable
True,"17, Tuesday, December 2024. Unavailable ",2024-12-17,Unavailable
True,"18, Wednesday, December 2024. Unavailable ",2024-12-18,Unavailable
True,"19, Thursday, December 2024. Unavailable ",2024-12-19,Unavailable
True,"20, Friday, December 2024. Unavailable ",2024-12-20,Unavailable
True,"21, Saturday, December 2024. Unavailable ",2024-12-21,Unavailable
True,"22, Sunday, December 2024. Unavailable ",2024-12-22,Unavailable
True,"23, Monday, December 2024. Unavailable ",2024-12-23,Unavailable
True,"24, Tuesday, December 2024. Unavailable ",2024-12-24,Unavailable
True,"25, Wednesday, December 2024. Unavailable ",2024-12-25,Unavailable
